account_id,transaction_date,amount,transaction_type,description
1,2024-10-19 12:24:34,3830.56,deposit,Project payment
1,2024-10-19 04:04:53,-3812.83,withdrawal,ATM cash withdrawal
1,2024-10-19 22:05:24,12904.12,deposit,Project payment
1,2024-10-19 06:05:53,19263.85,deposit,Salary payment
1,2024-10-19 19:43:33,5825.09,deposit,Salary payment
1,2024-10-19 02:53:06,477.2,deposit,Project payment
1,2024-10-19 00:05:27,12071.29,deposit,Project payment
1,2024-10-19 00:28:24,9975.3,deposit,Project payment
2,2024-10-19 08:25:05,11214.67,deposit,Salary payment
2,2024-10-19 17:45:58,-8272.64,withdrawal,Groceries
1,2024-10-19 22:46:14,390.24,deposit,Salary payment
2,2024-10-19 03:32:18,14225.7,deposit,Salary payment
2,2024-10-19 22:02:01,-7143.3,withdrawal,Groceries
2,2024-10-19 20:29:41,6992.45,deposit,Project payment
2,2024-10-19 19:35:02,-9916.56,withdrawal,Groceries
2,2024-10-19 17:50:12,15604.03,deposit,Project payment
2,2024-10-19 16:46:17,18893.19,deposit,Project payment
2,2024-10-19 09:12:14,-4251.43,withdrawal,ATM cash withdrawal
2,2024-10-19 09:21:39,-4335.34,withdrawal,Groceries
1,2024-10-19 02:07:33,24154.33,deposit,Salary payment
1,2024-10-19 18:08:58,20160.9,deposit,Project payment
1,2024-10-19 14:46:02,8414.41,deposit,Salary payment
2,2024-10-19 11:50:30,19851.42,deposit,Project payment
1,2024-10-19 01:34:20,5944.59,deposit,Project payment
2,2024-10-19 07:30:22,12232.7,deposit,Salary payment
1,2024-10-19 23:14:59,19067.92,deposit,Project payment
1,2024-10-19 23:35:38,6562.71,deposit,Project payment
2,2024-10-19 14:04:01,-7494.55,withdrawal,ATM cash withdrawal
2,2024-10-19 18:56:54,2260.24,deposit,Salary payment
2,2024-10-19 22:57:03,5285.03,deposit,Salary payment
2,2024-10-19 19:36:38,4237.74,deposit,Salary payment
